,center,focus,best_FDC,size,depth
14619,Joe Spellman,Carl T. Evans,-0.6476939037729498,8,2
14620,Susan Alotrico,Oliver Cooper,-3.064825402276824,13,3
14621,Tony Cladoosby,Oliver Cooper,-3.064825402276824,13,3
14622,Gérald Mathurin,Bernard Maris,-0.6476939037729498,8,2
14623,René Passet,Bernard Maris,-0.6476939037729498,8,2
14624,Serge Latouche,Bernard Maris,-0.6476939037729498,8,2
14625,Fatima Ben Saïdane,Rémi Gaillard,0.4559444197413772,11,2
14626,Lofti Abdelli,Rémi Gaillard,0.4559444197413772,11,2
14627,Nicole Ferroni,Rémi Gaillard,0.4559444197413772,11,2
14628,Alexandre Rodriguez,Jay Simon,0.08806497856993488,10,2
14629,Guillaume Bouvet,Jay Simon,0.08806497856993488,10,2
14630,Guy Corpataux,Jay Simon,0.08806497856993488,10,2
14631,Savitri Joly-Gonfard,Jay Simon,0.08806497856993488,10,2
14632,Ali Chariev,Bobur Yuldashev,-1.0155733449443922,7,2
14633,Boris Gafurov,Bobur Yuldashev,-1.0155733449443922,7,2
14634,Rano Shodieva,Bobur Yuldashev,-1.0155733449443922,7,2
14635,Carolina Neurath,Andreas Rylander,3.398979949112916,19,2
14636,Karl Lindqvist,Andreas Rylander,3.398979949112916,19,2
14637,Patrik Hont,Andreas Rylander,3.398979949112916,19,2
14638,Seema Siddhu,Dara Singh,-4.150148086902417,11,2
14639,Vindu Dara Singh,Dara Singh,-4.150148086902417,11,2
14640,Fredy Turcios,Paulina Gaitán,9.59945117380198,72,5
14641,Josue Sotomayor,Paulina Gaitán,9.59945117380198,72,5
14642,Luis Carlos Pineda,Paulina Gaitán,9.59945117380198,72,5
14643,Rhenomar Soqueño,Rosanna Roces,10.453569063226112,64,3
14644,Skim Guevarra,Rosanna Roces,10.453569063226112,64,3
14645,Sofie Garrucho,Rosanna Roces,10.453569063226112,64,3
14646,Jeff Delauter,Elizabeth Behl,-4.554658805851328,8,2
14647,Max Goldblatt,Elizabeth Behl,-4.554658805851328,8,2
14648,Sophie Ellsberg,Kentucker Audley,21.03985148867781,87,4
14649,Kao Ying-Hsuan,Tsai Chen-Nan,1.7176073329519257,26,3
14650,Yao Chun Yao,Tsai Chen-Nan,1.7176073329519257,26,3
14651,Ken,Hyde,-0.6476939037729498,8,2
14652,Tetsuya,Hyde,-0.6476939037729498,8,2
14653,Yukihiro,Hyde,-0.6476939037729498,8,2
14654,Luca Hollestelle,Raymi Sambo,-0.6476939037729498,8,2
14655,Rogier in't Hout,Raymi Sambo,-0.6476939037729498,8,2
14656,Sanne Gloria Verboom,Raymi Sambo,-0.6476939037729498,8,2
14657,Germaine Challaye,Charles Aznavour,1.9467518255402805,37,3
14658,Marcel Challaye,Charles Aznavour,1.9467518255402805,37,3
14659,Paul Argaud,Charles Aznavour,1.9467518255402805,37,3
14660,Raymond Privat,Charles Aznavour,1.9467518255402805,37,3
14661,Saritha Cukku,Disney James,-1.3834527861158346,6,2
14662,Smitha Ambu,Disney James,-1.3834527861158346,6,2
14663,Dan Burghelea,Jürg Löw,-2.613956350214641,20,3
14664,Eliane Chipia,Edgar Ramírez,16.079226003146573,336,5
14665,Glenda Mendoza,Edgar Ramírez,16.079226003146573,336,5
14666,Magdiel González,Edgar Ramírez,16.079226003146573,336,5
14667,Iris D. Ramirez,Sully Díaz,23.184423230169205,249,4
14668,Pedro Cruz,Sully Díaz,23.184423230169205,249,4
14669,Amneris Melendez,Sully Díaz,23.184423230169205,249,4
14670,Frankie Bracero,Sully Díaz,23.184423230169205,249,4
14671,Cielomar Cuevas,Braulio Castillo hijo,7.560261595734554,151,4
14672,Marcos Betancourt,Braulio Castillo hijo,7.560261595734554,151,4
14673,Michelle Deliz,Braulio Castillo hijo,7.560261595734554,151,4
14674,Raymond Arrieta,Luis Raúl,-1.7513322272872769,5,2
14675,Antonio Cavaso,Roly Serrano,-1.0155733449443922,7,2
14676,Gustavo Marzo,Roly Serrano,-1.0155733449443922,7,2
14677,María Paula Robles,Roly Serrano,-1.0155733449443922,7,2
14678,Bernard Pautrat,Raúl Ruiz,2.295341625598589,16,2
14679,Malcolm Coad,Raúl Ruiz,2.295341625598589,16,2
14680,Rainer Krause,Raúl Ruiz,2.295341625598589,16,2
14681,Covadonga Berdiñas,Antonio de la Torre,24.794129832420733,123,4
14682,Emilio Casariego,Antonio de la Torre,24.794129832420733,123,4
14683,Fernando de la Iglesia,Antonio de la Torre,24.794129832420733,123,4
14684,Jimi Busuttil,Laetitia Lopez,1.5792426137810978,42,3
14685,Naomi J. Lewis,Alexis Rodney,-0.27981446260150744,9,2
14686,Rumbi Mautsi,Alexis Rodney,-0.27981446260150744,9,2
14687,Gus Barry,Jonathan Hansler,3.639291354931726,63,4
14688,Peter Eryl Lloyd,Jonathan Hansler,3.639291354931726,63,4
14689,Rebecca Reaney,Jonathan Hansler,3.639291354931726,63,4
14690,Anne Looby,Maeve Dermody,10.644639024444325,93,4
14691,Olivia Stambouliah,Maeve Dermody,10.644639024444325,93,4
14692,Lounès Tazaïrt,Sofia Manousha,-1.3834527861158346,6,2
14693,Bob Mitchell,Johnny McPhail,-3.04650976338809,14,3
14694,Champagne Powell,Johnny McPhail,-3.04650976338809,14,3
14695,Shinelle Azoroh,Johnny McPhail,-3.04650976338809,14,3
14696,Gianfranco Parolini,Brad Harris,-0.6476939037729498,8,2
14697,Harald Blixen,Brad Harris,-0.6476939037729498,8,2
14698,Tony Kendall,Brad Harris,-0.6476939037729498,8,2
14699,Sermet Yeşil,Türkü Turan,-0.27981446260150744,9,2
14700,Suat Oktay Senocak,Türkü Turan,-0.27981446260150744,9,2
14701,Alexis Radzvilowicz,Anthem Moss,0.08806497856993488,10,2
14702,Kevin Grant Spencer,Anthem Moss,0.08806497856993488,10,2
14703,Orel De La Mota,Anthem Moss,0.08806497856993488,10,2
14704,Arnfinn Austlid,Moa Gammel,5.046837942383641,36,3
14705,Aurora Huseth Bjørnhaug,Moa Gammel,5.046837942383641,36,3
14706,Lisa Barsten,Moa Gammel,5.046837942383641,36,3
14707,Dilan Aksüt,Cezmi Baskın,6.11178670654918,199,5
14708,Aldred Montoya,Shannon Whirry,1.73592297184066,27,2
14709,Lucinda Serrano,Shannon Whirry,1.73592297184066,27,2
14710,Rhianne Barreto,Louise Dylan,-1.336888693148777,31,3
14711,Chris Lingao,Rosanna Roces,10.15024018425259,67,3
14712,Franz Visda,Rosanna Roces,10.15024018425259,67,3
14713,Nathaniel Rubio,Rosanna Roces,10.15024018425259,67,3
14714,Rodulfo Resurection,Rosanna Roces,10.15024018425259,67,3
14715,Dustin Dollin,Tony Hawk,14.213539602826346,97,4
14716,Geoff Rowley,Tony Hawk,14.213539602826346,97,4
14717,Ada Nwosu,Nils Verkooijen,5.1118821437979065,85,4
14718,Cecile Heuer,Nils Verkooijen,5.1118821437979065,85,4
14719,Dirk Marks,Nils Verkooijen,5.1118821437979065,85,4
14720,Nader Farman,Nils Verkooijen,5.1118821437979065,85,4
14721,Lidiya Smirnova,Tatyana Samoylova,0.4559444197413772,11,2
14722,Nonna Mordyukova,Tatyana Samoylova,0.4559444197413772,11,2
14723,Tatyana Okunevskaya,Tatyana Samoylova,0.4559444197413772,11,2
14724,Lev Danilkin,Tatyana Drubich,0.4559444197413772,11,2
14725,Mitya Borisov,Tatyana Drubich,0.4559444197413772,11,2
14726,Sergei Debizhev,Tatyana Drubich,0.4559444197413772,11,2
14727,Aldo Ottobrino,Luca Micheletti,0.8238238609128196,12,2
